Symbol	pSILAC_ko_wt	riboseq_ko_wt	hdlbp_clip
LGALS3BP	-0.455692194342902	-0.131582315864158	13.2894076877479
LAMC1	-0.430210036973095	-0.3404342	29.5734714003945
SLC16A1	-0.41996516934905	-0.04897448	25.7631912610943
GXYLT1	-0.390117917368051	-0.1351091	18.8707280832095
ZMPSTE24	-0.367820860862819	-0.0117491018495176	9.1980198019802
LAMB1	-0.363817696088151	-0.409323135852736	5.55021624219125
SEC62	-0.354371709064005	-0.0713338464723142	3.27242977911099
NCSTN	-0.343705909036058	-0.3369445	30.702875399361
HSPA5	-0.313282671354046	-0.157521504573315	3.14237011783888
NUP210	-0.298241707081151	-0.4210128	30.5331014018213
ASAH1	-0.284329591792759	-0.044600729454995	4.14102430374465
ACSL3	-0.27930750798138	-0.2134398	5.8201824236282
CTSC	-0.274048568997039	-0.24550169013798	4.35940099833611
ATP2A2	-0.267490211425581	-0.2351168	34.0704155149758
IGF2R	-0.257290765843775	-0.4214603	28.387968908415
GLG1	-0.255379464534208	-0.279427186724553	8.2668793195109
COCH	-0.243229877080436	-0.0372274790732638	4.69289164941339
MIA3	-0.225127117787063	-0.8878092	12.514220705347
SERINC1	-0.224692582209441	-0.134745364623203	32.2728001282257
LBR	-0.222524423331503	-0.07089855	21.1511996649315
NUCB1	-0.216319015883851	-0.0403039733899829	1.73393344646942
EPHA2	-0.215010786762534	-0.1188763	1.5390534821085
SRPRB	-0.195783541760458	-0.1164944	2.0289229440967
TMEM33	-0.195510473768704	-0.21899758745972	17.4848688634835
SLC1A5	-0.194346107901934	-0.101413753197503	21.0017499067673
TM9SF3	-0.192303987013137	-0.0964722656226153	49.7035881435257
TFRC	-0.189513620825697	-0.123671086322958	10.5739851593191
SCPEP1	-0.188193204306525	-0.1833482	2.59259259259259
HM13	-0.188025396226636	-0.0282541654290073	3.40396390589752
TMEM30A	-0.177850878821946	-0.054411846632938	43.4905903583398
DEGS1	-0.160966769380854	-0.0879865	7.41602206956239
ADAM10	-0.158692286179896	-0.1573334	14.2388182191219
ITGB1	-0.156668613262497	-0.1463765	7.91205838893118
HSD17B12	-0.154863323062185	-0.08343857	6.00891645667765
SEC63	-0.154466067071196	-0.1739375667801	32.7678571428571
ELOVL5	-0.133052100481336	-0.0851976680069016	11.992395838834
CPD	-0.130774573888111	-0.220271013469628	36.324510436841
DOLPP1	-0.130468482665487	-0.2357241	3.4145473946292
CNNM3	-0.129471238652718	-0.1661178	2.6605504587156
NPTN	-0.126103537017819	-0.07327751	4.27264932837954
SPPL2A	-0.123756354724905	-0.0971509	5.15789473684211
TMEM43	-0.12288907743741	-0.1564934	6.53429094493733
PRCP	-0.121579121978498	-0.09042042	5.55102040816327
CCDC47	-0.121546291427136	-0.107320861793844	5.80788450860633
APP	-0.12138933260283	-0.08742829	17.218126550435
KTN1	-0.120113085460996	-0.3082458	1.63230240549828
LAMP1	-0.119457938195298	-0.1323489	21.990620114643
ABHD12	-0.119117696165709	-0.0492158930765084	4.39626019494728
EPHA7	-0.111231319209813	-0.4602915	4.13127413127413
POR	-0.100838172177388	-0.2784166	2.79149259399924
CPVL	-0.100811382406686	-0.207698286970473	5.20396912899669
TMED10	-0.100162677178868	-0.06415764	7.90911851027224
YIPF3	-0.0973626376362422	-0.05343083	2.39056439483891
ATP6V0A1	-0.0973157551792166	-0.021796099074772	13.6580882352941
LGMN	-0.0942198733261289	-0.226604096032237	8.30883292854404
CD97	-0.0925145023563011	-0.1751886	18.0538404544332
UGGT1	-0.0910311361847974	-0.3498088	2.54237288135593
TMEM41B	-0.0854392380798552	-0.06818746	5.26011560693642
EMC1	-0.080037340563262	-0.2011148	51.368909512761
PSAP	-0.0799149254454074	-0.04533103	13.0457959777078
