gene_id	Symbol	baseMean.tumor.KO.WT	log2FoldChange.tumor.KO.WT	reg_tumor	localization_cat
ENSG00000000003.10	TSPAN6	496.958026243479	-0.274960166251777	unchanged_tumor	membrane
ENSG00000000419.8	DPM1	312.242721676578	-0.747319724532441	not_quantified	cytosolic
ENSG00000000457.9	SCYL3	216.865615832367	1.00035021458757	up_tumor	cytosolic
ENSG00000000460.12	C1orf112	85.4319448656506	-0.279305607333653	unchanged_tumor	cytosolic
ENSG00000001036.9	FUCA2	641.635521102264	-0.622113273140163	not_quantified	membrane
ENSG00000001084.6	GCLC	596.66010552126	0.0515653272808782	unchanged_tumor	cytosolic
ENSG00000001167.10	NFYA	138.833924777305	-0.313147157219202	not_quantified	cytosolic
ENSG00000001460.13	STPG1	121.803636249388	1.39687213162515	up_tumor	cytosolic
ENSG00000001461.12	NIPAL3	239.320629987559	0.2404898651305	unchanged_tumor	membrane
ENSG00000001497.12	LAS1L	314.303627831001	0.0292253779148793	unchanged_tumor	cytosolic
ENSG00000001629.5	ANKIB1	537.171058957209	-0.0442105689080018	unchanged_tumor	cytosolic
ENSG00000001630.11	CYP51A1	752.027903746145	-0.656996861429348	not_quantified	membrane
ENSG00000001631.10	KRIT1	445.043913985745	0.233426878646897	unchanged_tumor	cytosolic
ENSG00000002016.12	RAD52	98.8124695656313	-0.765581159687949	not_quantified	cytosolic
ENSG00000002330.9	BAD	301.342981334503	-0.412536283818593	not_quantified	cytosolic
ENSG00000002549.8	LAP3	311.362704643289	0.071694512672346	unchanged_tumor	cytosolic
ENSG00000002586.13	CD99	444.906055470225	-0.943622704061638	not_quantified	membrane
ENSG00000002822.11	MAD1L1	87.21693430238	-0.591281887555003	not_quantified	cytosolic
ENSG00000002834.13	LASP1	2379.61355587048	-0.076647168962239	unchanged_tumor	cytosolic
ENSG00000002919.10	SNX11	179.652839803776	-0.0285236180871313	unchanged_tumor	cytosolic
ENSG00000003056.3	M6PR	691.324250932891	-0.466699569989336	not_quantified	membrane
ENSG00000003147.13	ICA1	290.350735315814	-0.315316678504964	unchanged_tumor	cytosolic
ENSG00000003249.9	DBNDD1	193.21951361185	-0.53632182813977	unchanged_tumor	cytosolic
ENSG00000003393.10	ALS2	164.554745042416	0.0797080835732977	unchanged_tumor	cytosolic
ENSG00000003402.15	CFLAR	1073.57428061414	0.441061013725631	not_quantified	cytosolic
ENSG00000003436.10	TFPI	1243.25310529917	0.211832862275405	unchanged_tumor	membrane
ENSG00000003509.11	NDUFAF7	191.77901250449	0.405518309136425	not_quantified	cytosolic
ENSG00000003989.12	SLC7A2	1322.48195096772	-0.293879646589578	unchanged_tumor	membrane
ENSG00000004059.6	ARF5	838.648497422489	-0.291702262729946	not_quantified	cytosolic
ENSG00000004142.7	POLDIP2	958.432595866737	0.0773215170518374	unchanged_tumor	cytosolic
ENSG00000004399.8	PLXND1	794.199876042838	-0.438734262104085	not_quantified	membrane
ENSG00000004455.12	AK2	604.329208948797	-0.304228273854231	not_quantified	cytosolic
ENSG00000004478.5	FKBP4	850.738925441236	-0.0641039490244061	unchanged_tumor	cytosolic
ENSG00000004487.11	KDM1A	465.937638719202	-0.00168090494827045	unchanged_tumor	cytosolic
ENSG00000004534.10	RBM6	767.148145320907	0.308473052090058	unchanged_tumor	cytosolic
ENSG00000004660.10	CAMKK1	134.648991394647	1.26066697217303	up_tumor	cytosolic
ENSG00000004700.11	RECQL	607.512482038514	-0.0869042129226971	unchanged_tumor	cytosolic
ENSG00000004766.11	CCDC132	166.589936965687	-0.316818960650911	not_quantified	cytosolic
ENSG00000004777.14	ARHGAP33	61.3574783733126	-0.862271211102077	not_quantified	cytosolic
ENSG00000004779.5	NDUFAB1	640.394307509658	-0.0825643387507806	unchanged_tumor	cytosolic
ENSG00000004799.7	PDK4	870.881445015433	1.21833157297065	up_tumor	cytosolic
ENSG00000004864.9	SLC25A13	296.527760878233	-0.18258936666212	unchanged_tumor	cytosolic
ENSG00000004866.14	ST7	144.580795367759	-1.07151825337409	down_tumor	membrane
ENSG00000004897.7	CDC27	572.212581354686	0.0698102387416392	unchanged_tumor	cytosolic
ENSG00000004975.7	DVL2	210.620875413174	0.0660687629865743	unchanged_tumor	cytosolic
ENSG00000005007.8	UPF1	367.90050987751	-0.410365523957345	not_quantified	cytosolic
ENSG00000005020.8	SKAP2	578.913219696076	0.0656899578411639	unchanged_tumor	cytosolic
ENSG00000005022.5	SLC25A5	4261.67696908716	-0.729639547444382	not_quantified	cytosolic
ENSG00000005059.11	CCDC109B	140.263193005279	-0.631718195530931	not_quantified	cytosolic
ENSG00000005075.11	POLR2J	348.872932789184	-0.609225372280431	not_quantified	cytosolic
ENSG00000005100.8	DHX33	554.59735874086	1.37147895524128	up_tumor	cytosolic
ENSG00000005156.7	LIG3	194.759034035868	0.298052316924822	not_quantified	cytosolic
ENSG00000005175.5	RPAP3	187.379951781649	0.626865777910677	not_quantified	cytosolic
ENSG00000005187.7	ACSM3	44.8777879621464	0.0391988570810727	unchanged_tumor	cytosolic
ENSG00000005194.10	CIAPIN1	447.595242084612	-0.477811813734778	not_quantified	cytosolic
ENSG00000005302.13	MSL3	325.566947057122	0.0990440528531607	unchanged_tumor	cytosolic
ENSG00000005339.8	CREBBP	436.471083002845	0.211620121185643	not_quantified	cytosolic
ENSG00000005436.9	GCFC2	210.321995982707	-0.251750390185645	unchanged_tumor	cytosolic
ENSG00000005448.12	WDR54	243.812448754791	0.0785058952016	unchanged_tumor	cytosolic
ENSG00000005469.7	CROT	128.015803069291	0.0212117899655865	unchanged_tumor	cytosolic
ENSG00000005483.15	KMT2E	805.229854816928	0.722828687261363	not_quantified	cytosolic
ENSG00000005486.12	RHBDD2	420.364322269675	-0.734973419295461	not_quantified	membrane
ENSG00000005700.10	IBTK	492.147705748687	-0.421979819237541	not_quantified	cytosolic
ENSG00000005801.12	ZNF195	318.273617085754	-0.578810508769824	not_quantified	cytosolic
ENSG00000005810.13	MYCBP2	437.572158172418	1.24163186442154	up_tumor	cytosolic
ENSG00000005812.6	FBXL3	230.65538520617	-0.910468826780114	not_quantified	cytosolic
ENSG00000005882.7	PDK2	87.5087242876972	-0.813369208751345	not_quantified	cytosolic
ENSG00000005884.13	ITGA3	1859.03129383108	-0.0909159197722232	unchanged_tumor	membrane
ENSG00000005889.11	ZFX	252.044301986426	-0.359772509624843	not_quantified	cytosolic
ENSG00000005893.11	LAMP2	695.674771928484	-1.01807259116557	down_tumor	membrane
ENSG00000005955.8	GGNBP2	1121.62742499124	0.638041937853808	not_quantified	cytosolic
ENSG00000006007.7	GDE1	767.903000572478	-0.159403824202333	unchanged_tumor	NA
ENSG00000006015.13	C19orf60	342.015893282935	0.258122994671311	not_quantified	cytosolic
ENSG00000006016.6	CRLF1	37.2132255048551	-0.163761189835017	unchanged_tumor	membrane
ENSG00000006025.7	OSBPL7	152.829965573987	-1.24773434869273	down_tumor	cytosolic
ENSG00000006042.7	TMEM98	163.711670273604	1.1968264966507	up_tumor	membrane
ENSG00000006114.11	SYNRG	375.264152621827	0.830461687024801	not_quantified	cytosolic
ENSG00000006118.10	TMEM132A	296.931129628051	-0.445720231369068	not_quantified	membrane
ENSG00000006125.12	AP2B1	1769.58661086201	0.391803753279283	not_quantified	cytosolic
ENSG00000006194.6	ZNF263	316.330722543127	0.0955711538182843	unchanged_tumor	cytosolic
ENSG00000006282.15	SPATA20	639.926961438183	-0.31192677294516	unchanged_tumor	cytosolic
ENSG00000006327.9	TNFRSF12A	708.829002797877	0.854893506036059	not_quantified	membrane
ENSG00000006432.11	MAP3K9	282.522610740287	1.41945131812647	up_tumor	cytosolic
ENSG00000006451.3	RALA	502.231242123903	0.0183923837526469	unchanged_tumor	cytosolic
ENSG00000006453.9	BAIAP2L1	826.357451260383	-0.452688546271087	not_quantified	cytosolic
ENSG00000006530.11	AGK	212.637829757435	-0.372983076564437	not_quantified	cytosolic
ENSG00000006576.12	PHTF2	194.367307991299	0.0937008815585349	unchanged_tumor	membrane
ENSG00000006607.9	FARP2	205.361341159542	0.182339469175444	unchanged_tumor	cytosolic
ENSG00000006625.13	GGCT	620.209422863831	-0.365038160290559	unchanged_tumor	cytosolic
ENSG00000006634.3	DBF4	201.842914852225	0.0834533542526577	unchanged_tumor	cytosolic
ENSG00000006652.9	IFRD1	376.042089945399	-0.203180209056892	unchanged_tumor	cytosolic
ENSG00000006695.6	COX10	123.05232127352	-0.0813794098779552	unchanged_tumor	cytosolic
ENSG00000006704.6	GTF2IRD1	206.449383853266	0.446577931442379	not_quantified	cytosolic
ENSG00000006712.10	PAF1	531.154408428776	-0.325113998430569	not_quantified	cytosolic
ENSG00000006715.11	VPS41	405.933948242852	0.225048119435484	unchanged_tumor	cytosolic
ENSG00000006744.14	ELAC2	533.741370457432	0.0898003575049178	unchanged_tumor	cytosolic
ENSG00000006831.9	ADIPOR2	533.025772348075	-0.368915474832288	not_quantified	membrane
ENSG00000007047.10	MARK4	137.466289517389	0.594529403588694	not_quantified	cytosolic
ENSG00000007080.6	CCDC124	441.670918305794	-0.278161680306536	not_quantified	cytosolic
ENSG00000007168.8	PAFAH1B1	1025.5813696615	-0.19513850016354	unchanged_tumor	cytosolic
ENSG00000007202.10	KIAA0100	1162.14750858283	0.109132011839541	unchanged_tumor	NA
ENSG00000007237.14	GAS7	34.5369042735815	3.07988738551526	up_tumor	cytosolic
ENSG00000007255.6	TRAPPC6A	155.188282804089	-0.945729287272262	not_quantified	cytosolic
ENSG00000007341.14	ST7L	59.4618024763641	-0.299934080089044	unchanged_tumor	membrane
ENSG00000007376.3	RPUSD1	165.783954335256	-0.515450895472687	not_quantified	cytosolic
ENSG00000007384.11	RHBDF1	207.536304974564	-0.910601202416495	not_quantified	membrane
ENSG00000007392.12	LUC7L	730.015033739742	0.0149304970295462	unchanged_tumor	cytosolic
ENSG00000007520.3	TSR3	476.374335547719	0.161438222762339	unchanged_tumor	cytosolic
ENSG00000007541.10	PIGQ	343.467958598329	-0.243801636546362	unchanged_tumor	membrane
ENSG00000007545.11	CRAMP1L	172.932365760818	-0.394069381298922	unchanged_tumor	cytosolic
ENSG00000007923.11	DNAJC11	345.737157707465	-0.164145647546374	unchanged_tumor	cytosolic
ENSG00000008018.8	PSMB1	780.098395976623	-0.0355792246894147	unchanged_tumor	cytosolic
ENSG00000008128.18	CDK11A	598.201072584231	1.88267920977228	up_tumor	cytosolic
ENSG00000008130.11	NADK	464.511075870372	-0.0349507853220875	unchanged_tumor	cytosolic
ENSG00000008256.11	CYTH3	159.035922822417	0.195953622935627	unchanged_tumor	cytosolic
ENSG00000008282.3	SYPL1	734.013704075939	-0.973538947407225	not_quantified	membrane
ENSG00000008283.11	CYB561	239.966329895056	-0.091222968979587	unchanged_tumor	NA
ENSG00000008294.16	SPAG9	810.48547745948	0.378828336675258	not_quantified	cytosolic
ENSG00000008324.6	SS18L2	96.8112215961169	-0.344802808068803	unchanged_tumor	cytosolic
ENSG00000008382.11	MPND	101.784552645067	-0.459337660660443	not_quantified	cytosolic
ENSG00000008394.8	MGST1	3765.13797174759	-0.875517044329237	not_quantified	membrane
ENSG00000008405.7	CRY1	110.935151479654	0.161457124784735	unchanged_tumor	cytosolic
ENSG00000008513.10	ST3GAL1	553.751227956407	1.14363991686754	up_tumor	membrane
ENSG00000008517.12	IL32	619.094392419826	-0.62440309296355	not_quantified	cytosolic
ENSG00000008838.13	MED24	435.049771935243	-0.053929205455143	unchanged_tumor	cytosolic
ENSG00000008853.12	RHOBTB2	488.394241997516	-0.287149025958509	unchanged_tumor	cytosolic
ENSG00000008869.7	HEATR5B	245.578233979035	-0.162966138021719	unchanged_tumor	cytosolic
ENSG00000008952.12	SEC62	1752.41925729211	0.184957435805674	unchanged_tumor	membrane
ENSG00000008988.5	RPS20	8871.17567074969	-0.109855888837264	unchanged_tumor	cytosolic
ENSG00000009307.11	CSDE1	1954.40087856802	0.0554102647766848	unchanged_tumor	cytosolic
ENSG00000009335.13	UBE3C	616.094338046324	-0.204319014908521	unchanged_tumor	cytosolic
ENSG00000009413.11	REV3L	154.501512667389	0.0179862223629302	unchanged_tumor	cytosolic
ENSG00000009830.7	POMT2	272.959420310937	-0.00926804954275022	unchanged_tumor	membrane
ENSG00000009844.11	VTA1	317.841594706979	-0.141902952493249	unchanged_tumor	cytosolic
ENSG00000009950.11	MLXIPL	221.587115195379	0.156025037237205	unchanged_tumor	cytosolic
ENSG00000009954.6	BAZ1B	1209.65689413877	1.5427178942111	up_tumor	cytosolic
ENSG00000010017.9	RANBP9	247.315152724747	-0.476934886893967	not_quantified	cytosolic
ENSG00000010072.11	SPRTN	115.50068665242	-0.204410064795173	unchanged_tumor	cytosolic
ENSG00000010165.15	METTL13	297.073469987925	-0.0902861133621766	unchanged_tumor	cytosolic
ENSG00000010219.9	DYRK4	145.807447030637	-0.51621521816207	not_quantified	cytosolic
ENSG00000010244.12	ZNF207	1629.00821169932	0.146007187291532	unchanged_tumor	cytosolic
ENSG00000010256.6	UQCRC1	839.054294365686	-0.314537705725339	not_quantified	cytosolic
ENSG00000010270.9	STARD3NL	272.641791497075	-0.620693066749514	not_quantified	NA
ENSG00000010278.7	CD9	662.125293695756	-1.10798822989758	down_tumor	membrane
ENSG00000010292.8	NCAPD2	547.91434701078	0.449209327291348	not_quantified	cytosolic
ENSG00000010361.9	FUZ	111.020086410034	0.627799492928268	unchanged_tumor	cytosolic
ENSG00000010404.13	IDS	791.460524670405	-0.211353825923301	unchanged_tumor	cytosolic
