pos_from_stop	region	localization	sample	scaled_tc_rpm
-1500	cds	cyt	frac.tc_num1	0.0011829181083512
-1499	cds	cyt	frac.tc_num1	0.00161536564620996
-1498	cds	cyt	frac.tc_num1	0.00106404286215012
-1497	cds	cyt	frac.tc_num1	0.00276607704062649
-1496	cds	cyt	frac.tc_num1	0.00204577450335384
-1495	cds	cyt	frac.tc_num1	0.0010515247108307
-1494	cds	cyt	frac.tc_num1	0.00237255748641534
-1493	cds	cyt	frac.tc_num1	0.00143696603999897
-1492	cds	cyt	frac.tc_num1	0.000700918364329086
-1491	cds	cyt	frac.tc_num1	0.00115670151008823
-1490	cds	cyt	frac.tc_num1	0.00104602510460251
-1489	cds	cyt	frac.tc_num1	0.00136113930614906
-1488	cds	cyt	frac.tc_num1	0.00104384133611691
-1487	cds	cyt	frac.tc_num1	0.00148735703274776
-1486	cds	cyt	frac.tc_num1	0.00104384133611691
-1485	cds	cyt	frac.tc_num1	0.00118240710918631
-1484	cds	cyt	frac.tc_num1	0.00182153833945009
-1483	cds	cyt	frac.tc_num1	0.000241307573303329
-1482	cds	cyt	frac.tc_num1	0.00209956322648998
-1481	cds	cyt	frac.tc_num1	0.00232048675608769
-1480	cds	cyt	frac.tc_num1	0.00108697714125682
-1479	cds	cyt	frac.tc_num1	0.000590929236223962
-1478	cds	cyt	frac.tc_num1	0.0011350021423414
-1477	cds	cyt	frac.tc_num1	0.00250773063124999
-1476	cds	cyt	frac.tc_num1	0.00025803404872916
-1475	cds	cyt	frac.tc_num1	0.00043395414572988
-1474	cds	cyt	frac.tc_num1	6.87898208954552e-05
-1473	cds	cyt	frac.tc_num1	0.00111568829385513
-1472	cds	cyt	frac.tc_num1	0.00037143416241377
-1471	cds	cyt	frac.tc_num1	0.00199729449302121
-1470	cds	cyt	frac.tc_num1	0.0011658656077219
-1469	cds	cyt	frac.tc_num1	0.000953851945256679
-1468	cds	cyt	frac.tc_num1	0.000989871942719162
-1467	cds	cyt	frac.tc_num1	0.00211045480607525
-1466	cds	cyt	frac.tc_num1	0.00126392946424819
-1465	cds	cyt	frac.tc_num1	0.00228900825928937
-1464	cds	cyt	frac.tc_num1	0.00193179183469146
-1463	cds	cyt	frac.tc_num1	0.00179671457905544
-1462	cds	cyt	frac.tc_num1	0.000938941140255421
-1461	cds	cyt	frac.tc_num1	0.000271551814175005
-1460	cds	cyt	frac.tc_num1	0.000573102995046722
-1459	cds	cyt	frac.tc_num1	0.00102354145342886
-1458	cds	cyt	frac.tc_num1	0.000408940714403043
-1457	cds	cyt	frac.tc_num1	0.00212884445603805
-1456	cds	cyt	frac.tc_num1	0.00108189966180981
-1455	cds	cyt	frac.tc_num1	0.00106736416674467
-1454	cds	cyt	frac.tc_num1	0.00272129682314092
-1453	cds	cyt	frac.tc_num1	0.000839485271142944
-1452	cds	cyt	frac.tc_num1	0.000690774356455791
-1451	cds	cyt	frac.tc_num1	0.0017960273957944
-1450	cds	cyt	frac.tc_num1	0
-1449	cds	cyt	frac.tc_num1	0.00134933879448777
-1448	cds	cyt	frac.tc_num1	0.00101208908773905
-1447	cds	cyt	frac.tc_num1	0.000693240512308347
-1446	cds	cyt	frac.tc_num1	0.00192728162041687
-1445	cds	cyt	frac.tc_num1	0.00183641282409809
-1444	cds	cyt	frac.tc_num1	0.000808784668728365
-1443	cds	cyt	frac.tc_num1	0.000704005954362012
-1442	cds	cyt	frac.tc_num1	0.00227931231650466
-1441	cds	cyt	frac.tc_num1	2.04049899718251e-06
-1440	cds	cyt	frac.tc_num1	0.00100502512562814
-1439	cds	cyt	frac.tc_num1	0.000580292614019945
-1438	cds	cyt	frac.tc_num1	0.00150760802656996
-1437	cds	cyt	frac.tc_num1	0.002614265143926
-1436	cds	cyt	frac.tc_num1	0.000574708070515815
-1435	cds	cyt	frac.tc_num1	3.08488260941829e-05
-1434	cds	cyt	frac.tc_num1	0.00122976511183432
-1433	cds	cyt	frac.tc_num1	0.000388629347321258
-1432	cds	cyt	frac.tc_num1	0
-1431	cds	cyt	frac.tc_num1	0.000411636857618805
-1430	cds	cyt	frac.tc_num1	0.00203727726479734
-1429	cds	cyt	frac.tc_num1	0.00157822994761316
-1428	cds	cyt	frac.tc_num1	0.00137362637362637
-1427	cds	cyt	frac.tc_num1	0.00112387612387612
-1426	cds	cyt	frac.tc_num1	0.000865772903106648
-1425	cds	cyt	frac.tc_num1	0.00128052590157435
