transcript	region	loc	hval
ENST00000000233.5	cds_bck	cytosolic_bck	0.945525291828794
ENST00000000442.6	cds_bck	cytosolic_bck	0.915526950925181
ENST00000001008.4	cds_bck	cytosolic_bck	1.26054774241303
ENST00000002125.4	cds_bck	cytosolic_bck	1.40555127216654
ENST00000002501.6	cds_bck	cytosolic_bck	0.964285714285714
ENST00000004980.5	cds_bck	cytosolic_bck	1.39296956977964
ENST00000005257.2	cds_bck	cytosolic_bck	2.09797297297297
ENST00000005260.8	cds_bck	cytosolic_bck	1.1599203715992
ENST00000005340.5	cds_bck	cytosolic_bck	1.08295142071494
ENST00000005386.3	cds_bck	cytosolic_bck	1.47333671914677
ENST00000006015.3	cds_bck	cytosolic_bck	0.810514786418401
ENST00000006275.4	cds_bck	cytosolic_bck	1.04868154158215
ENST00000007264.2	cds_bck	cytosolic_bck	0.585714285714286
ENST00000007390.2	cds_bck	cytosolic_bck	0.741758241758242
ENST00000007516.3	cds_bck	cytosolic_bck	1.98642533936652
ENST00000008527.5	cds_bck	cytosolic_bck	1.40127020785219
ENST00000009589.3	cds_bck	cytosolic_bck	2.06344410876133
ENST00000011619.3	cds_bck	cytosolic_bck	1.53031004164739
ENST00000011691.4	cds_bck	cytosolic_bck	1.71219512195122
ENST00000012443.4	cds_bck	cytosolic_bck	1.33990482664854
ENST00000013070.6	cds_bck	cytosolic_bck	1.7093674939952
ENST00000013125.4	cds_bck	cytosolic_bck	1.39490445859873
ENST00000013807.5	cds_bck	cytosolic_bck	0.80593849416755
ENST00000014930.4	cds_bck	cytosolic_bck	1.37523105360444
ENST00000016171.5	cds_bck	cytosolic_bck	1.28654485049834
ENST00000022615.4	cds_bck	cytosolic_bck	1.50911300121507
ENST00000023939.4	cds_bck	cytosolic_bck	1.11995515695067
ENST00000037243.2	cds_bck	cytosolic_bck	1.19076923076923
ENST00000037869.3	cds_bck	cytosolic_bck	1.75515463917526
ENST00000044462.7	cds_bck	cytosolic_bck	1.51254953764861
ENST00000052569.6	cds_bck	cytosolic_bck	1.75823353293413
ENST00000053468.3	cds_bck	cytosolic_bck	1.74176776429809
ENST00000054650.4	cds_bck	cytosolic_bck	0.748191027496382
ENST00000054666.6	cds_bck	cytosolic_bck	1.90510948905109
ENST00000055077.3	cds_bck	cytosolic_bck	0.950772200772201
ENST00000064778.4	cds_bck	cytosolic_bck	0.726628895184136
ENST00000066544.3	cds_bck	cytosolic_bck	1.44521668029436
ENST00000078429.4	cds_bck	cytosolic_bck	0.884871550903901
ENST00000081029.3	cds_bck	cytosolic_bck	1.66065747613998
ENST00000083182.3	cds_bck	cytosolic_bck	1.59398496240601
ENST00000085068.3	cds_bck	cytosolic_bck	1.01726844583987
ENST00000156109.5	cds_bck	cytosolic_bck	0.842368045649073
ENST00000156471.5	cds_bck	cytosolic_bck	1.45179498758185
ENST00000157812.2	cds_bck	cytosolic_bck	0.861563517915309
ENST00000159111.4	cds_bck	cytosolic_bck	0.847026364193746
ENST00000160827.4	cds_bck	cytosolic_bck	0.973590655154901
ENST00000161863.4	cds_bck	cytosolic_bck	1.74765478424015
ENST00000163416.2	cds_bck	cytosolic_bck	1.53253345639132
ENST00000166345.3	cds_bck	cytosolic_bck	1.08425196850394
ENST00000167106.4	cds_bck	cytosolic_bck	0.632366697848456
ENST00000168216.6	cds_bck	cytosolic_bck	0.963011889035667
ENST00000170168.4	cds_bck	cytosolic_bck	0.70525158097333
ENST00000170447.7	cds_bck	cytosolic_bck	1.28068739770867
ENST00000170564.2	cds_bck	cytosolic_bck	1.34224792193712
ENST00000173527.5	cds_bck	cytosolic_bck	1.50115207373272
ENST00000175756.5	cds_bck	cytosolic_bck	0.852289512555391
ENST00000178640.5	cds_bck	cytosolic_bck	1.61836115326252
ENST00000179259.4	cds_bck	cytosolic_bck	1.82525510204082
ENST00000184266.2	cds_bck	cytosolic_bck	0.722991689750693
ENST00000184956.6	cds_bck	cytosolic_bck	1.36081887972704
ENST00000192788.5	cds_bck	cytosolic_bck	1.4126688402422
ENST00000193403.6	cds_bck	cytosolic_bck	0.893584905660377
ENST00000194118.4	cds_bck	cytosolic_bck	0.903225806451613
ENST00000194214.5	cds_bck	cytosolic_bck	1.28571428571429
ENST00000194530.3	cds_bck	cytosolic_bck	1.69299674267101
ENST00000196371.5	cds_bck	cytosolic_bck	1.36245110821382
ENST00000196551.3	cds_bck	cytosolic_bck	1.24402730375427
ENST00000198767.6	cds_bck	cytosolic_bck	1.53243383497665
ENST00000199320.4	cds_bck	cytosolic_bck	1.6078860898138
ENST00000199389.6	cds_bck	cytosolic_bck	1.50643776824034
ENST00000199706.8	cds_bck	cytosolic_bck	1.01482479784367
ENST00000199708.2	cds_bck	cytosolic_bck	0.7175
ENST00000199814.4	cds_bck	cytosolic_bck	1.20340356564019
ENST00000200135.3	cds_bck	cytosolic_bck	1.54868022501082
ENST00000200457.4	cds_bck	cytosolic_bck	0.943651925820257
ENST00000202017.4	cds_bck	cytosolic_bck	1.4745308310992
ENST00000202773.9	cds_bck	cytosolic_bck	0.893794749403341
ENST00000203001.2	cds_bck	cytosolic_bck	1.2061433447099
ENST00000203166.5	cds_bck	cytosolic_bck	0.735184196476241
ENST00000203630.5	cds_bck	cytosolic_bck	0.838440111420613
ENST00000204517.6	cds_bck	cytosolic_bck	0.52834008097166
ENST00000204549.4	cds_bck	cytosolic_bck	0.782365290412876
ENST00000205402.5	cds_bck	cytosolic_bck	1.78880746169221
ENST00000206020.3	cds_bck	cytosolic_bck	1.28854961832061
ENST00000206451.6	cds_bck	cytosolic_bck	1.16088765603329
ENST00000206542.4	cds_bck	cytosolic_bck	1.26966292134831
ENST00000207437.5	cds_bck	cytosolic_bck	1.32274247491639
ENST00000209728.4	cds_bck	cytosolic_bck	1.23518742442563
ENST00000209873.4	cds_bck	cytosolic_bck	0.954714640198511
ENST00000209875.4	cds_bck	cytosolic_bck	1.48080438756856
ENST00000210060.7	cds_bck	cytosolic_bck	0.869565217391304
ENST00000210444.5	cds_bck	cytosolic_bck	1.44433872502379
ENST00000211287.4	cds_bck	cytosolic_bck	1.04115996258185
ENST00000212015.6	cds_bck	cytosolic_bck	1.69480812641084
ENST00000215115.4	cds_bck	cytosolic_bck	0.9504
ENST00000215565.2	cds_bck	cytosolic_bck	0.916883116883117
ENST00000215570.3	cds_bck	cytosolic_bck	1.14671814671815
ENST00000215574.4	cds_bck	cytosolic_bck	0.803519061583578
ENST00000215587.7	cds_bck	cytosolic_bck	1.0364238410596
ENST00000215659.8	cds_bck	cytosolic_bck	0.901395348837209
ENST00000215730.7	cds_bck	cytosolic_bck	1.62433155080214
ENST00000215739.8	cds_bck	cytosolic_bck	1.028067361668
ENST00000215793.8	cds_bck	cytosolic_bck	1.29876753081173
ENST00000215794.7	cds_bck	cytosolic_bck	0.835779816513761
ENST00000215832.6	cds_bck	cytosolic_bck	0.846299810246679
ENST00000215909.5	cds_bck	cytosolic_bck	0.9155672823219
ENST00000215941.4	cds_bck	cytosolic_bck	1.01830663615561
ENST00000215957.6	cds_bck	cytosolic_bck	0.745610612563402
ENST00000215980.5	cds_bck	cytosolic_bck	0.700389105058366
ENST00000216027.3	cds_bck	cytosolic_bck	1.2680412371134
ENST00000216029.3	cds_bck	cytosolic_bck	1.51420454545455
ENST00000216034.4	cds_bck	cytosolic_bck	0.8225
ENST00000216038.5	cds_bck	cytosolic_bck	1.26863666890531
ENST00000216039.5	cds_bck	cytosolic_bck	0.591379310344828
ENST00000216044.5	cds_bck	cytosolic_bck	1.0570418980313
ENST00000216068.4	cds_bck	cytosolic_bck	1.07612456747405
ENST00000216121.7	cds_bck	cytosolic_bck	1.0726392251816
ENST00000216122.4	cds_bck	cytosolic_bck	0.917279411764706
ENST00000216129.6	cds_bck	cytosolic_bck	0.963273871983211
ENST00000216146.4	cds_bck	cytosolic_bck	0.981403212172443
ENST00000216160.6	cds_bck	cytosolic_bck	0.981157469717362
ENST00000216181.5	cds_bck	cytosolic_bck	0.807823710283567
ENST00000216185.2	cds_bck	cytosolic_bck	1.75423728813559
